yearDraft,namePlayer
1949,Alex Groza
1950,Don Rehfeldt
1951,Mel Hutchins
1952,Jim Baechtold
1953,Bob Houbregs
1954,Bob Pettit
1955,Maurice Stokes
1956,Bill Russell
1957,Charlie Tyra
1958,Archie Dees
1959,Bailey Howell
1960,Jerry West
1961,Tom Stith
1962,Paul Hogue
1963,Rod Thorn
1964,Joe Caldwell
1965,Rick Barry
1966,Dave Bing
1967,Earl Monroe
1968,Wes Unseld
1969,Neal Walk
1970,Rudy Tomjanovich
1971,Sidney Wicks
1972,Bob McAdoo
1973,Jim Brewer
1974,Marvin Barnes
1975,Dave Meyers
1976,Scott May
1977,Otis Birdsong
1978,Phil Ford
1979,David Greenwood
1980,Darrell Griffith
1981,Isiah Thomas
1982,Terry Cummings
1983,Steve Stipanovich
1984,Sam Bowie
1985,Wayman Tisdale
1987,Armen Gilliam
1988,Rik Smits
1989,Danny Ferry
1990,Gary Payton
1991,Kenny Anderson
1992,Alonzo Mourning
1993,Shawn Bradley
1994,Jason Kidd
1995,Antonio McDyess
1996,Marcus Camby
1997,Keith Van Horn
1998,Mike Bibby
1999,Steve Francis
2000,Stromile Swift
2001,Tyson Chandler
2002,Jay Williams
2003,Darko Milicic
2004,Emeka Okafor
2005,Marvin Williams
2006,LaMarcus Aldridge
2007,Kevin Durant
2008,Michael Beasley
2009,Hasheem Thabeet
2010,Evan Turner
2011,Derrick Williams
2012,Michael Kidd-Gilchrist
2013,Victor Oladipo
2014,Jabari Parker
2015,D'Angelo Russell
2016,Brandon Ingram
2017,Lonzo Ball
2018,Marvin Bagley III
2019,Ja Morant
