yearDraft,namePlayer
1949,Bob Harris
1950,Bob Cousy
1952,Dick Groat
1953,Jack Molinas
1954,Gene Shue
1955,Jim Loscutoff
1956,Jim Paxson
1957,Jim Krebs
1958,Mike Farmer
1959,Tom Hawkins
1960,Darrall Imhoff
1961,Larry Siegfried
1962,Zelmo Beaty
1963,Nate Thurmond
1964,Gary Bradds
1965,Dave Stallworth
1966,Clyde Lee
1967,Clem Haskins
1968,Bob Kauffman
1969,Lucius Allen
1970,Pete Maravich
1971,Elmore Smith
1972,Double D Davis
1973,Ernie DiGregorio
1974,Tom Burleson
1975,Marvin Webster
1976,Richard Washington
1977,Marques Johnson
1978,Rick Robey
1979,Bill Cartwright
1980,Kevin McHale
1981,Buck Williams
1982,Dominique Wilkins
1983,Rodney McCray
1984,Michael Jordan
1985,Benoit Benjamin
1986,Chris Washburn
1987,Dennis Hopson
1988,Charles Smith
1989,Sean Elliott
1990,Mahmoud Abdul-Rauf
1991,Billy Owens
1992,Christian Laettner
1993,Anfernee Hardaway
1994,Grant Hill
1995,Jerry Stackhouse
1996,Shareef Abdur-Rahim
1997,Chauncey Billups
1998,Raef LaFrentz
1999,Baron Davis
2000,Darius Miles
2001,Pau Gasol
2002,Mike Dunleavy
2003,Carmelo Anthony
2004,Ben Gordon
2005,Deron Williams
2006,Adam Morrison
2007,Al Horford
2008,O.J. Mayo
2009,James Harden
2010,Derrick Favors
2011,Enes Kanter
2012,Bradley Beal
2013,Otto Porter Jr.
2014,Joel Embiid
2015,Jahlil Okafor
2016,Jaylen Brown
2017,Jayson Tatum
2018,Luka Doncic
2019,RJ Barrett
