yearDraft,namePlayer
1949,Howie Shannon
1950,Charlie Share
1952,Mark Workman
1953,Ray Felix
1954,Frank Selvy
1955,Dick Ricketts
1956,Si Green
1957,Rod Hundley
1958,Elgin Baylor
1959,Bob Boozer
1960,Oscar Robertson
1961,Walt Bellamy
1962,Bill McGill
1963,Art Heyman
1964,Jim Barnes
1965,Fred Hetzel
1966,Cazzie Russell
1967,Jimmy Walker
1968,Elvin Hayes
1969,Kareem Abdul-Jabbar
1970,Bob Lanier
1971,Austin Carr
1972,Larue Martin
1973,Doug Collins
1974,Bill Walton
1975,David Thompson
1976,John Lucas
1977,Kent Benson
1978,Mychal Thompson
1979,Magic Johnson
1980,Joe Barry Carroll
1981,Mark Aguirre
1982,James Worthy
1983,Ralph Sampson
1984,Hakeem Olajuwon
1985,Patrick Ewing
1986,Brad Daugherty
1987,David Robinson
1988,Danny Manning
1989,Pervis Ellison
1990,Derrick Coleman
1991,Larry Johnson
1992,Shaquille O'Neal
1993,Chris Webber
1994,Glenn Robinson
1995,Joe Smith
1996,Allen Iverson
1997,Tim Duncan
1998,Michael Olowokandi
1999,Elton Brand
2000,Kenyon Martin
2001,Kwame Brown
2002,Yao Ming
2003,LeBron James
2004,Dwight Howard
2005,Andrew Bogut
2006,Andrea Bargnani
2007,Greg Oden
2008,Derrick Rose
2009,Blake Griffin
2010,John Wall
2011,Kyrie Irving
2012,Anthony Davis
2013,Anthony Bennett
2014,Andrew Wiggins
2015,Karl-Anthony Towns
2016,Ben Simmons
2017,Markelle Fultz
2018,Deandre Ayton
2019,Zion Williamson
