yearDraft,namePlayer
1949,Tony Lavelli
1950,Dick Schnittker
1951,Zeke Sinicola
1953,Richie Regan
1954,Dick Rosenthal
1955,Ken Sears
1956,Ron Shavlik
1957,Win Wilfong
1958,Pete Brennan
1959,Dick Barnett
1960,Jackie Moreland
1961,Ray Scott
1962,Len Chappell
1963,Eddie Miles
1964,Lucious Jackson
1965,Jerry Sloan
1966,Lou Hudson
1967,Lloyd Dove
1968,Tom Boerwinkle
1969,Terry Driscoll
1970,Dave Cowens
1971,Ken Durrett
1972,Corky Calhoun
1973,Mike Green
1974,John Shumate
1975,Alvan Adams
1976,Leon Douglas
1977,Greg Ballard
1978,Micheal Ray Richardson
1979,Greg Kelser
1980,Kelvin Ransey
1981,Al Wood
1982,Bill Garnett
1983,Byron Scott
1984,Sam Perkins
1985,Xavier McDaniel
1986,Chuck Person
1987,Reggie Williams
1988,Chris Morris
1989,Glen Rice
1990,Dennis Scott
1991,Dikembe Mutombo
1992,Jim Jackson
1993,Jamal Mashburn
1994,Donyell Marshall
1995,Rasheed Wallace
1996,Stephon Marbury
1997,Antonio Daniels
1998,Antawn Jamison
1999,Lamar Odom
2000,Marcus Fizer
2001,Eddy Curry
2002,Drew Gooden
2003,Chris Bosh
2004,Shaun Livingston
2005,Chris Paul
2006,Tyrus Thomas
2007,Mike Conley
2008,Russell Westbrook
2009,Tyreke Evans
2010,Wesley Johnson
2011,Tristan Thompson
2012,Dion Waiters
2013,Cody Zeller
2014,Aaron Gordon
2015,Kristaps Porzingis
2016,Dragan Bender
2017,Josh Jackson
2018,Jaren Jackson Jr.
2019,De'Andre Hunter
