yearDraft,numberPickOverall,namePlayer,height,weight,rosterstatus,team_name,from_year,to_year,pts,ast,reb,all_star_appearances
1949,2,Alex Groza,79,218,Inactive,Olympians,1949,1950,22.5,2.4,10.7,1
1949,3,Bob Harris,79,195,Inactive,Celtics,1949,1953,6.8,1.5,6.9,0
1949,4,Tony Lavelli,75,185,Inactive,Celtics,1949,1950,6.9,0.7,2,0
1949,1,Howie Shannon,74,175,Inactive,Celtics,1948,1949,10.8,2.5,,0
1950,3,Bob Cousy,73,175,Inactive,Celtics,1950,1969,18.4,7.5,5.2,13
1950,2,Don Rehfeldt,78,210,Inactive,Bullets,1950,1951,7.1,1.2,5,0
1950,4,Dick Schnittker,77,200,Inactive,Lakers,1950,1957,8.3,1.3,3.8,0
1950,1,Charlie Share,83,235,Inactive,Hawks,1951,1959,8.3,1.4,8.4,0
1951,2,Mel Hutchins,78,200,Inactive,Pistons,1951,1957,11.1,3,9.6,4
1951,4,Zeke Sinicola,70,165,Inactive,Pistons,1951,1953,1.1,0.3,0.2,0
1952,2,Jim Baechtold,76,205,Inactive,Knicks,1952,1956,9.7,2.1,3.1,0
1952,3,Dick Groat,71,180,Inactive,Pistons,1952,1952,11.9,2.7,3.3,0
1952,1,Mark Workman,81,215,Inactive,Warriors,1952,1953,4.9,0.6,2.9,0
1953,1,Ray Felix,83,220,Inactive,Knicks,1953,1961,10.9,0.7,8.9,1
1953,2,Bob Houbregs,80,210,Inactive,Pistons,1953,1957,9.3,1.8,5.5,0
1953,3,Jack Molinas,78,200,Inactive,Pistons,1953,1953,12.1,1.6,7.2,0
1953,4,Richie Regan,74,180,Inactive,Royals,1955,1957,8.3,2.9,2.6,1
1954,2,Bob Pettit,81,205,Inactive,Hawks,1954,1964,26.4,3,16.2,11
1954,4,Dick Rosenthal,77,205,Inactive,Pistons,1954,1956,6.8,2,4.1,0
1954,1,Frank Selvy,74,180,Inactive,Lakers,1954,1963,10.8,2.8,3.7,2
1954,3,Gene Shue,74,170,Inactive,Pistons,1954,1963,14.4,3.7,4.1,5
1955,3,Jim Loscutoff,77,220,Inactive,Celtics,1955,1963,6.2,0.7,5.6,0
1955,1,Dick Ricketts,79,215,Inactive,Royals,1955,1957,9.3,2.1,6.3,0
1955,4,Ken Sears,81,198,Inactive,Knicks,1955,1963,13.9,1.6,7.8,2
1955,2,Maurice Stokes,79,232,Inactive,Royals,1955,1957,16.4,5.3,17.3,3
1956,1,Si Green,74,185,Inactive,Bullets,1956,1965,9.2,3.3,4.3,0
1956,3,Jim Paxson,78,200,Inactive,Lakers,1956,1957,8,1.6,4.5,0
1956,2,Bill Russell,82,215,Inactive,Celtics,1956,1968,15.1,4.3,22.5,12
